timestamp,market-price
1230940800000,0
1231200000000,0
1231459200000,0
1231718400000,0
1231977600000,0
1232236800000,0
1232496000000,0
1232755200000,0
1233014400000,0
1233273600000,0
1233532800000,0
1233792000000,0
1234051200000,0
1234310400000,0
1234569600000,0
1234828800000,0
1235088000000,0
1235347200000,0
1235606400000,0
1235865600000,0
1236124800000,0
1236384000000,0
1236643200000,0
1236902400000,0
1237161600000,0
1237420800000,0
1237680000000,0
1237939200000,0
1238198400000,0
1238457600000,0
1238716800000,0
1238976000000,0
1239235200000,0
1239494400000,0
1239753600000,0
1240012800000,0
1240272000000,0
1240531200000,0
1240790400000,0
1241049600000,0
1241308800000,0
1241568000000,0
1241827200000,0
1242086400000,0
1242345600000,0
1242604800000,0
1242864000000,0
1243123200000,0
1243382400000,0
1243641600000,0
1243900800000,0
1244160000000,0
1244419200000,0
1244678400000,0
1244937600000,0
1245196800000,0
1245456000000,0
1245715200000,0
1245974400000,0
1246233600000,0
1246492800000,0
1246752000000,0
1247011200000,0
1247270400000,0
1247529600000,0
1247788800000,0
1248048000000,0
1248307200000,0
1248566400000,0
1248825600000,0
1249084800000,0
1249344000000,0
1249603200000,0
1249862400000,0
1250121600000,0
1250380800000,0
1250640000000,0
1250899200000,0
1251158400000,0
1251417600000,0
1251676800000,0
1251936000000,0
1252195200000,0
1252454400000,0
1252713600000,0
1252972800000,0
1253232000000,0
1253491200000,0
1253750400000,0
1254009600000,0
1254268800000,0
1254528000000,0
1254787200000,0
1255046400000,0
1255305600000,0
1255564800000,0
1255824000000,0
1256083200000,0
1256342400000,0
1256601600000,0
1256860800000,0
1257120000000,0
1257379200000,0
1257638400000,0
1257897600000,0
1258156800000,0
1258416000000,0
1258675200000,0
1258934400000,0
1259193600000,0
1259452800000,0
1259712000000,0
1259971200000,0
1260230400000,0
1260489600000,0
1260748800000,0
1261008000000,0
1261267200000,0
1261526400000,0
1261785600000,0
1262044800000,0
1262304000000,0
1262563200000,0
1262822400000,0
1263081600000,0
1263340800000,0
1263600000000,0
1263859200000,0
1264118400000,0
1264377600000,0
1264636800000,0
1264896000000,0
1265155200000,0
1265414400000,0
1265673600000,0
1265932800000,0
1266192000000,0
1266451200000,0
1266710400000,0
1266969600000,0
1267228800000,0
1267488000000,0
1267747200000,0
1268006400000,0
1268265600000,0
1268524800000,0
1268784000000,0
1269043200000,0
1269302400000,0
1269561600000,0
1269820800000,0
1270080000000,0
1270339200000,0
1270598400000,0
1270857600000,0
1271116800000,0
1271376000000,0
1271635200000,0
1271894400000,0
1272153600000,0
1272412800000,0
1272672000000,0
1272931200000,0
1273190400000,0
1273449600000,0
1273708800000,0
1273968000000,0
1274227200000,0
1274486400000,0
1274745600000,0
1275004800000,0
1275264000000,0
1275523200000,0
1275782400000,0
1276041600000,0
1276300800000,0
1276560000000,0
1276819200000,0
1277078400000,0
1277337600000,0
1277596800000,0
1277856000000,0
1278115200000,0
1278374400000,0
1278633600000,0
1278892800000,0
1279152000000,0
1279411200000,0
1279670400000,0
1279929600000,0
1280188800000,0
1280448000000,0
1280707200000,0
1280966400000,0
1281225600000,0
1281484800000,0
1281744000000,0
1282003200000,0
1282262400000,0.07
1282521600000,0.07
1282780800000,0.07
1283040000000,0.06
1283299200000,0.06
1283558400000,0.06
1283817600000,0.06
1284076800000,0.06
1284336000000,0.06
1284595200000,0.15
1284854400000,0.06
1285113600000,0.06
1285372800000,0.06
1285632000000,0.06
1285891200000,0.06
1286150400000,0.06
1286409600000,0.06
1286668800000,0.12
1286928000000,0.1
1287187200000,0.12
1287446400000,0.1
1287705600000,0.11
1287964800000,0.18
1288224000000,0.19
1288483200000,0.19
1288742400000,0.21
1289001600000,0.25
1289260800000,0.36
1289520000000,0.24
1289779200000,0.3
1290038400000,0.28
1290297600000,0.29
1290556800000,0.29
1290816000000,0.29
1291075200000,0.28
1291334400000,0.25
1291593600000,0.23
1291852800000,0.25
1292112000000,0.23
1292371200000,0.23
1292630400000,0.25
1292889600000,0.27
1293148800000,0.25
1293408000000,0.27
1293667200000,0.3
1293926400000,0.3
1294185600000,0.3
1294444800000,0.32
1294704000000,0.33
1294963200000,0.42
1295222400000,0.4
1295481600000,0.35
1295740800000,0.43
1296000000000,0.43
1296259200000,0.45
1296518400000,0.61
1296777600000,0.78
1297036800000,0.92
1297296000000,0.97
1297555200000,1.09
1297814400000,1.08
1298073600000,1.04
1298332800000,0.88
1298592000000,0.96
1298851200000,0.96
1299110400000,0.95
1299369600000,0.92
1299628800000,0.9
1299888000000,0.93
1300147200000,0.9
1300406400000,0.87
1300665600000,0.79
1300924800000,0.86
1301184000000,0.9
1301443200000,0.8
1301702400000,0.8
1301961600000,0.77
1302220800000,0.78
1302480000000,0.76
1302739200000,0.99
1302998400000,1.09
1303257600000,1.19
1303516800000,1.38
1303776000000,1.71
1304035200000,2.66
1304294400000,3.95
1304553600000,3.56
1304812800000,3.75
1305072000000,5.41
1305331200000,8.56
1305590400000,8.47
1305849600000,7.28
1306108800000,6.81
1306368000000,7.95
1306627200000,8.68
1306886400000,9.47
1307145600000,15.05
1307404800000,19.19
1307664000000,32.34
1307923200000,24.87
1308182400000,19.99
1308441600000,17.6
1308700800000,15.39
1308960000000,16.95
1309219200000,17.89
1309478400000,17.38
1309737600000,15.74
1309996800000,16.44
1310256000000,15.16
1310515200000,14.52
1310774400000,14.25
1311033600000,13.93
1311292800000,13.94
1311552000000,14.16
1311811200000,14.1
1312070400000,14.06
1312329600000,13.37
1312588800000,11.42
1312848000000,9.66
1313107200000,10.35
1313366400000,11.4
1313625600000,11.39
1313884800000,11.75
1314144000000,11.47
1314403200000,10.01
1314662400000,9.4
1314921600000,8.46
1315180800000,8.56
1315440000000,7.53
1315699200000,6.49
